eval_loss,perplexity,bleu,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/r,config/alpha,config/learning_rate,logdir
1.165361524,3.207082033,0,1760426217,,FALSE,1,b527e_00000,2025-10-14_15-16-57,446.3832536,446.3832536,2714011,TC1N07,10.128.10.17,446.3832536,1,16,256,1.26E-05,b527e_00000
0.556510389,1.744573951,0,1760426675,,FALSE,1,b527e_00001,2025-10-14_15-24-35,451.211561,451.211561,2715214,TC1N07,10.128.10.17,451.211561,1,64,128,0.000152835,b527e_00001
1.174973011,3.238055468,0,1760427151,,TRUE,1,b527e_00002,2025-10-14_15-32-31,469.3147171,469.3147171,2716354,TC1N07,10.128.10.17,469.3147171,1,256,32,4.02E-05,b527e_00002
0.536786795,1.71050179,0,1760427625,,FALSE,1,b527e_00003,2025-10-14_15-40-25,467.2728307,467.2728307,2718350,TC1N07,10.128.10.17,467.2728307,1,256,128,0.000343852,b527e_00003
0.547138572,1.728300571,0,1760428087,,FALSE,1,b527e_00004,2025-10-14_15-48-07,456.0609944,456.0609944,2719782,TC1N07,10.128.10.17,456.0609944,1,128,256,0.000648043,b527e_00004
0.57573545,1.778437972,0,1760428539,,TRUE,1,b527e_00005,2025-10-14_15-55-39,445.5241992,445.5241992,2721133,TC1N07,10.128.10.17,445.5241992,1,32,64,0.000157551,b527e_00005
0.548896015,1.731340647,0,1760428999,,FALSE,1,b527e_00006,2025-10-14_16-03-19,453.0635936,453.0635936,2722475,TC1N07,10.128.10.17,453.0635936,1,64,128,0.000184607,b527e_00006
0.537210226,1.711226225,0,1760429464,,FALSE,1,b527e_00007,2025-10-14_16-11-04,458.0392449,458.0392449,2724031,TC1N07,10.128.10.17,458.0392449,1,64,128,0.000415902,b527e_00007
